,date,cd,cd_p_change(%),ks200_p_range
1,2023-07-31,3.74,0.0,0.0
2,2023-08-01,3.74,0.0,0.0
3,2023-08-02,3.74,0.0,0.0
4,2023-08-03,3.73,-0.2673796791443861,-0.010000000000000231
5,2023-08-04,3.72,-0.2680965147452974,-0.009999999999999787
6,2023-08-07,3.72,0.0,0.0
7,2023-08-08,3.7,-0.5376344086021501,-0.020000000000000018
8,2023-08-09,3.7,0.0,0.0
9,2023-08-10,3.68,-0.5405405405405461,-0.020000000000000018
10,2023-08-11,3.69,0.27173913043476716,0.009999999999999787
11,2023-08-14,3.69,0.0,0.0
12,2023-08-16,3.7,0.27100271002711285,0.010000000000000231
13,2023-08-17,3.7,0.0,0.0
14,2023-08-18,3.7,0.0,0.0
15,2023-08-21,3.7,0.0,0.0
16,2023-08-22,3.7,0.0,0.0
17,2023-08-23,3.69,-0.2702702702702786,-0.010000000000000231
18,2023-08-24,3.69,0.0,0.0
19,2023-08-25,3.69,0.0,0.0
20,2023-08-28,3.69,0.0,0.0
21,2023-08-29,3.69,0.0,0.0
22,2023-08-30,3.69,0.0,0.0
23,2023-08-31,3.69,0.0,0.0
24,2023-09-01,3.68,-0.27100271002709064,-0.009999999999999787
25,2023-09-04,3.69,0.27173913043476716,0.009999999999999787
26,2023-09-05,3.7,0.27100271002711285,0.010000000000000231
27,2023-09-06,3.71,0.2702702702702675,0.009999999999999787
28,2023-09-07,3.72,0.26954177897575704,0.010000000000000231
29,2023-09-08,3.72,0.0,0.0
30,2023-09-11,3.72,0.0,0.0
31,2023-09-12,3.73,0.26881720430107503,0.009999999999999787
32,2023-09-13,3.75,0.536193029490617,0.020000000000000018
33,2023-09-14,3.76,0.2666666666666595,0.009999999999999787
34,2023-09-15,3.78,0.5319148936170137,0.020000000000000018
35,2023-09-18,3.79,0.2645502645502784,0.010000000000000231
36,2023-09-19,3.8,0.26385224274405594,0.009999999999999787
37,2023-09-20,3.81,0.263157894736854,0.010000000000000231
38,2023-09-21,3.82,0.2624671916010346,0.009999999999999787
39,2023-09-22,3.83,0.2617801047120505,0.010000000000000231
40,2023-09-25,3.83,0.0,0.0
41,2023-09-26,3.83,0.0,0.0
42,2023-09-27,3.83,0.0,0.0
43,2023-10-04,3.84,0.26109660574411553,0.009999999999999787
44,2023-10-05,3.83,-0.26041666666666297,-0.009999999999999787
45,2023-10-06,3.82,-0.26109660574412663,-0.010000000000000231
46,2023-10-10,3.82,0.0,0.0
47,2023-10-11,3.82,0.0,0.0
48,2023-10-12,3.82,0.0,0.0
49,2023-10-13,3.82,0.0,0.0
50,2023-10-16,3.82,0.0,0.0
51,2023-10-17,3.82,0.0,0.0
52,2023-10-18,3.82,0.0,0.0
53,2023-10-19,3.82,0.0,0.0
54,2023-10-20,3.82,0.0,0.0
55,2023-10-23,3.82,0.0,0.0
56,2023-10-24,3.82,0.0,0.0
57,2023-10-25,3.82,0.0,0.0
58,2023-10-26,3.82,0.0,0.0
59,2023-10-27,3.82,0.0,0.0
