,date,ks200_p_change(%),ks200_p_range
0,2023-07-31,-0.03752,1.9
1,2023-08-01,0.18641,3.06
2,2023-08-02,-0.15455,1.62
3,2023-08-03,0.16291,3.01
4,2023-08-04,-0.01464,1.85
5,2023-08-07,0.34568,3.11
6,2023-08-08,0.04692,2.58
7,2023-08-09,-0.04984,3.17
8,2023-08-10,-0.01177,1.02
9,2023-08-11,-0.28646,2.46
10,2023-08-14,-0.56885,2.37
11,2023-08-16,-0.33607,2.39
12,2023-08-17,0.27896,3.89
13,2023-08-18,0.33223,3.39
14,2023-08-21,0.04841,1.88
15,2023-08-22,0.18147,2.32
16,2023-08-23,-0.20004,2.17
17,2023-08-24,-0.07803,1.36
18,2023-08-25,0.16663,2.1
19,2023-08-28,0.10851,1.54
20,2023-08-29,-0.20974,1.76
21,2023-08-30,-0.05048,1.31
22,2023-08-31,-0.10741,1.53
23,2023-09-01,-0.01188,3.64
24,2023-09-04,-0.10018,1.22
25,2023-09-05,-0.24372,1.96
26,2023-09-06,-0.1176,1.19
27,2023-09-07,-0.07427,1.84
28,2023-09-08,0.00895,1.85
29,2023-09-11,-0.13969,1.96
30,2023-09-12,-0.21036,2.15
31,2023-09-13,0.0089,1.78
32,2023-09-14,0.0474,1.32
33,2023-09-15,0.36246,2.73
34,2023-09-18,-0.06127,2.06
35,2023-09-19,-0.36,1.95
36,2023-09-20,-0.05012,1.47
37,2023-09-21,-0.45426,2.69
38,2023-09-22,0.2458,1.74
39,2023-09-25,-0.09626,1.87
40,2023-09-26,-0.17672,4.27
41,2023-09-27,-0.07067,2.29
42,2023-10-04,-0.26494,3.04
43,2023-10-05,0.16619,2.93
44,2023-10-06,-0.0125,1.79
45,2023-10-10,-0.31733,2.25
46,2023-10-11,0.05229,2.0
47,2023-10-12,0.23807,1.71
48,2023-10-13,0.04595,1.9
49,2023-10-16,-0.29848,2.5
50,2023-10-17,-0.05828,1.25
51,2023-10-18,0.06724,2.17
52,2023-10-19,0.28422,1.56
53,2023-10-20,-0.27379,3.71
