,date,usd_yesterday_change,usd_night_change
1,2023-07-31,-0.88,0.04
2,2023-08-01,0.36,0.03
3,2023-08-02,0.84,0.03
4,2023-08-03,0.74,0.04
5,2023-08-04,-0.04,0.07
6,2023-08-07,0.32,0.02
7,2023-08-08,0.23,0.05
8,2023-08-09,0.67,0.02
9,2023-08-10,-0.3,0.0
10,2023-08-11,0.29,0.09
11,2023-08-14,0.92,0.02
12,2023-08-15,0.47,0.09
13,2023-08-16,-0.11,0.03
14,2023-08-17,0.33,0.05
15,2023-08-18,-0.2,0.04
16,2023-08-21,-0.04,0.07
17,2023-08-22,-0.08,0.07
18,2023-08-23,-0.02,0.07
19,2023-08-24,-1.07,0.11
20,2023-08-25,-0.04,0.07
21,2023-08-28,-0.36,0.08
22,2023-08-29,-0.06,0.03
23,2023-08-30,-0.46,0.04
24,2023-08-31,0.37,0.02
25,2023-09-01,0.1,0.02
26,2023-09-04,-0.6,0.07
27,2023-09-05,-0.09,0.09
28,2023-09-06,0.81,0.07
29,2023-09-07,0.27,0.07
30,2023-09-08,-0.08,0.1
31,2023-09-11,0.01,0.1
32,2023-09-12,-0.81,0.04
33,2023-09-13,0.01,0.04
34,2023-09-14,-0.01,0.12
35,2023-09-15,0.1,0.04
36,2023-09-18,-0.12,0.07
37,2023-09-19,-0.44,0.04
38,2023-09-20,0.35,0.03
39,2023-09-21,0.3,0.04
40,2023-09-22,0.42,0.04
41,2023-09-25,-0.41,0.11
42,2023-09-26,0.18,0.13
43,2023-09-27,0.99,0.09
44,2023-09-28,0.03,0.07
45,2023-09-29,-0.44,0.07
46,2023-10-02,0.13,0.03
47,2023-10-03,0.24,0.1
48,2023-10-04,0.29,0.07
49,2023-10-05,-0.77,0.07
50,2023-10-06,-0.5,0.05
51,2023-10-09,-0.13,-0.01
52,2023-10-10,0.15,0.09
53,2023-10-11,-0.47,0.1
54,2023-10-12,-0.31,0.08
55,2023-10-13,0.7,0.03
56,2023-10-16,0.21,0.06
57,2023-10-17,-0.38,0.03
58,2023-10-18,0.35,0.04
59,2023-10-19,0.02,0.12
60,2023-10-20,0.04,0.08
